,ord__Education,ord__EnvironmentSatisfaction,ord__JobInvolvement,ord__JobSatisfaction,ord__PerformanceRating,ord__RelationshipSatisfaction,ord__StockOptionLevel,ord__TrainingTimesLastYear,ord__WorkLifeBalance,ord__JobLevel,onehot__BusinessTravel_Non-Travel,onehot__BusinessTravel_Travel_Frequently,onehot__BusinessTravel_Travel_Rarely,onehot__Department_Human Resources,onehot__Department_Research & Development,onehot__Department_Sales,onehot__EducationField_Human Resources,onehot__EducationField_Life Sciences,onehot__EducationField_Marketing,onehot__EducationField_Medical,onehot__EducationField_Other,onehot__EducationField_Technical Degree,onehot__Gender_Female,onehot__Gender_Male,onehot__JobRole_Healthcare Representative,onehot__JobRole_Human Resources,onehot__JobRole_Laboratory Technician,onehot__JobRole_Manager,onehot__JobRole_Manufacturing Director,onehot__JobRole_Research Director,onehot__JobRole_Research Scientist,onehot__JobRole_Sales Executive,onehot__JobRole_Sales Representative,onehot__MaritalStatus_Divorced,onehot__MaritalStatus_Married,onehot__MaritalStatus_Single,onehot__OverTime_No,onehot__OverTime_Yes,std__Age,std__DailyRate,std__DistanceFromHome,std__HourlyRate,std__MonthlyIncome,std__MonthlyRate,std__NumCompaniesWorked,std__YearsAtCompany,std__YearsSinceLastPromotion,std__TotalWorkingYears,std__YearsInCurrentRole,std__YearsWithCurrManager,std__PercentSalaryHike,std__EmployeeNumber
0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.1177929793401282,1.0733284588274157,-0.9148652540480073,-0.9301416505519946,1.9839844834940656,0.9419703137646481,1.3134640254834995,-0.6712379030807707,-0.3613874360412142,2.2133076820109254,-0.636590169840347,-0.6256712496463356,-0.32604168070101025,1.1483216451898093
1,0.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.6722420168377516,-0.5136890379637766,-0.9148652540480073,1.6752475400113103,-0.8745582923226171,0.6938732777502806,-1.081052567309474,-0.8320001496572546,-0.05139146765946163,-1.084547722866011,-0.9158588643950167,-0.9015647107134406,-0.32604168070101025,-1.3906812842981884
2,0.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.006191579493013,-0.9865246788460971,-0.793236516543179,-0.6843502174799847,2.301316951654844,0.1797695707770278,0.1162057290870128,0.7756223161075843,0.5686004691040435,1.4522641270393244,1.3182906920423407,1.305582977823399,-0.868100376000746,0.21830862788564556
3,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.337437817296406,-0.4432667084706651,0.42305085850510415,-1.2742496568528086,-0.965315803310328,1.676404180869295,-0.681966468510645,-0.028188916774835173,-0.6713834044229667,-0.577185352884944,-0.07805278073100767,0.47790259462208406,-1.139129723650614,-0.5887135374924239
4,4.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6713873799516674,0.5099498228825232,-0.06346409151420909,0.2988155148080548,-0.203760389097288,0.739410954198357,0.1162057290870128,0.1325733298016487,0.5686004691040435,-0.19666357539914364,0.7597533029330014,0.7537960556891891,-0.5970710283508781,-0.5583870260585926
5,3.0,0.0,0.0,3.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0026336177550603,0.9023028014870018,-0.9148652540480073,0.8887149541808785,-0.6745516931670295,1.4488546330083278,0.9143779266846706,-0.6712379030807707,-0.05139146765946163,-0.8308665378754775,-0.636590169840347,-0.6256712496463356,-0.5970710283508781,-0.9340988065999486
6,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.564198578728589,0.087415845923854,-1.0364939915528357,1.4786143935537024,-0.8320489194946494,1.239770057609538,-0.681966468510645,-0.9927623962337385,-0.6713834044229667,-1.3382289078565446,-1.1951275589496864,-1.1774581717805455,-1.139129723650614,-1.0806769451968004
7,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6713873799516674,0.7136715617733103,2.125853183572701,0.8395566675664766,0.8889430394456197,-0.3840368440267474,2.1116362230811574,0.1325733298016487,-0.6713834044229667,0.8180611645629906,0.7597533029330014,-0.9015647107134406,-1.139129723650614,0.22167824026718239
8,1.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.33658318041032187,-1.710868639346673,0.5446795960099325,0.8887149541808785,-0.4248091278027196,-0.4219386296070062,-0.681966468510645,-0.3497134099278029,-0.3613874360412142,-0.8308665378754775,-0.07805278073100767,-0.6256712496463356,-0.05501233305114235,1.016906762309873
9,2.0,3.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.1142350176021756,-1.4920564012787907,0.058164645990619226,1.5769309667825062,-0.18463117132470258,-0.999767316731683,-0.681966468510645,-0.18895116335131906,0.5686004691040435,-0.7040259453802107,-0.636590169840347,-0.07388432751212577,-1.139129723650614,0.6883695551100326
